ID,Title,Content,Excerpt,Date,"Post Type",Permalink
13209,"Blossom Builder Tabzz","Atami America - Europe's hottest selling product. B'Cuzz Blossom Builder Tabzz are 100% sizzling flower multipliers that ensure an explosive flower development in the flower phase. B'Cuzz Blossom Builder Tabzz make sure that all the strength of the plant is directed towards the flowers at the end of the growth. The flowers become denser, increasing your yield. The plants have a more intense smell and become larger. B'Cuzz Tabzz can be used in earth, hydro, and coco applications. B'Cuzz Tabzz replace PK1314 in our feeding schedule.  <p>  <b>Advantages:</b>  <ul>    <li>Without roughage and binding agents, therefore no polluting effect  <li>Dissolve immediately in nutrient container  <li>Direct absorption by the plant  <li>Ensure higher yield and higher quality of plant  <li>Visible effect in days  <li>15% to 35% more weight  </ul>  <p>  <b>Derived from:</b>  <ul>    <li>Sodium Bicarbonate  <li>Citric Acid  <li>Mono Potassium Phosphate  </ul>  <p>  NPK: 0 - 12 - 15  <p>  <b>Applications:</b>  Earth, Hydro, Cocos  <p>  <b>Plants with a short flowering period:</b> from the fourth week<br>  <b>Plants with a medium flowering period:</b> from the fifth week<br>    <b>Plants with a long flowering period:</b> from the sixth week  <p>        <b>Directions for use with 100 l nutrient water (break apart and measure with a scale for smaller reservoirs):</b>  <ol>  <li>Fill you nutrient reservoir with clean water of some 20 Cº  <li>Adjust the EC-value to 1.2 with your base nutrients (A and B nutrients)  <li>Then add 1 to 2 B'cuzz Blossom Builder Tabzz  <li>Consequently fix the pH-value at 5.5/5.8  </ol>  <p>  <b>Warning:</b>    <p>  Keep out of reach of children, not intended for internal use, avoid contact with the skin. Store frost-free in a cool and dark place. The manufacturer denies any liability for any resulting damage pursuant our general terms and conditions.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/blossom-builder-tabzz/
13210,"B'Cuzz Growth Stimulator","The growing and flowering stages of plant growth are quite distinct. Atami has examined those phases in a very thorough manner. And, as a result developed products to serve the plants needs throughout each stage. B’Cuzz Growth Stimulator has been developed specifically to stimulate the growth phase and is a necessary supplement to normal nutrition. It is a all-in-one growing stimulator, containing micro-nutrients, aqua-bacteria’s, amino acids, and proteins. This all-in-one system makes B’Cuzz Growth Stimulator an extremely cost effective supplement and a must for those gardeners who wish to increase their yield and over all quality of plants. The growth formula will supplement changes from rooting to growth stages.

NPK: 1.0 - 0 - 0.7

Derived from:
<ul>
 	<li>Laminara Digitata</li>
 	<li>Ascophyllum Nodosum</li>
</ul>
<b>Hydroponic Usage</b>

Add to fresh nutrient solution at the rate of one mL per litre of water (3/4 teaspoon per gal) with each reservoir change during bloom cycle.

<b>Hand Watering</b>

Water daily with a solution mixed at the rate of one mL per litre of water (3/4 teaspoon per gal) during bloom cycle.

ALL NATURAL ORGANIC FERTILIZER
USE IN ADDITION TO REGULAR NUTRITION
AVOID USE OF SYNTHETIC ADDITIVES - Plants tend to consume chemical primarily over organic.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bcuzz-growth-stimulator/
13211,"B'Cuzz Root-Aid Gel","B'Cuzz Root Aid Gel combines both Indole 3 Butyric Acid (IBA), Naphthalene Acetic Acid (NAA) and several proprietary inert compounds which make this gel the most advanced and effective rooting product to be introduced to the retail hydroponics market. The combination of NAA and IBA will ensure your cuttings root rapidly and most important a larger number of roots will be the ultimate result.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bcuzz-root-aid-gel/
13212,"B'Cuzz Root-Aid Gel","B'Cuzz Root Aid Gel combines both Indole 3 Butyric Acid (IBA), Naphthalene Acetic Acid (NAA) and several proprietary inert compounds which make this gel the most advanced and effective rooting product to be introduced to the retail hydroponics market. The combination of NAA and IBA will ensure your cuttings root rapidly and most important a larger number of roots will be the ultimate result.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bcuzz-root-aid-gel-2/
13213,"B'Cuzz Root Stimulator","A good start is crucial for a successful crop. Therefore a fast growing root system is essential for the grower. Roots are necessary to the plant to provide a continuous supply of water, sugars, and mineral nutrients. The larger the root system, the more dynamically the plant can function and grow. B’Cuzz Root Stimulator will initiate an explosive root production. A cutting is an exact replica of the host or parent plant, however, a cutting is still a vegetative plant. It takes time to change the cutting's train of thought from growing to rooting. The rooting formula will supplement this change. B’Cuzz Root Stimulant solutions can be best used when soaking B’Cuzz Roxx Stonewool, in cloning systems, and for young plants, cuttings, or seedlings. B’cuzz Root Stimulator is an effective means to developing disease resistance for your young plants.

NPK: 0 - 0 - 0.7

Derived from:
<ul>
 	<li>Laminara Digitata</li>
 	<li>Ascophyllum Nodosum</li>
</ul>
<b>Hydroponic Usage</b>

Add to fresh nutrient solution at the rate of one mL per litre of water (3/4 teaspoon per gal) with each reservoir change until strong roots are evident.

<b>Hand Watering</b>

Water daily with a solution mixed at the rate of one mL per litre of water (3/4 teaspoon per gal) until strong roots are evident.

ALL NATURAL ORGANIC FERTILIZER
USE IN ADDITION TO REGULAR NUTRITION
AVOID USE OF SYNTHETIC ADDITIVES - Plants tend to consume chemical primarily over organic.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bcuzz-root-stimulator/
13214,"Holland Secret Grow","The days of using ""Old School"" nutrient systems are gone. Modern growing systems need cutting edge, sediment free fertilizers to help them reach their maximum production.

Today's systems have aeroponic injection emitters, micro spinners and drip spears running top producing gardens such as the Plant Tier Systems™. Growers need a cleaner, more ""clog-free"" liquid fertilizer that will not cause salt build-up. <b>Grow, Micro &amp; Bloom </b>

is the sediment free nutrient that does just that!",,"September 3, 2019",product,http://hmoonhydroponics.com/product/holland-secret-grow/
13215,"Better Bloom 12-34-12","<b>Finally... a one part feed program that is so incredibly soluble it will even dissolve in cold water!</b>

PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production.

PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production.

<b>Better Bloom 15-35-15</b>

Specifically designed for the first three weeks of your Bloom Cycle. Excellent for flowers, tomatoes, tropical plants and any others that require higher levels of phosphorus",,"September 3, 2019",product,http://hmoonhydroponics.com/product/better-bloom-12-34-12/
13216,"Jungle Green 17-15-17","<b>Finally... a one part feed program that is so incredibly soluble it will even dissolve in cold water!</b>

PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production. PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production.

<b>Jungle Green 20-20-20</b>

Simply use this one part in your Veg. cycle until you are ready to kick into your bloom cycle.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/jungle-green-17-15-17/
13217,"Royal Black","<b>Royal Black</b> is the most plant-active of the Humic Acid compounds, offering physical, chemical and biobiological benefits. <b><i>Derived from humates, it is 100% organic.</i></b>

Natural buffering, chelating, and extremely high ion-exchange properties make mineral elements easier for plants to absorb. This results in increased plant vitality, resistance to environmental stress and improved crop quality and yields.Royal Black can benefit almost anything that grows.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/royal-black/
13218,"Royal Gold","Fulvic Acid is the most plant-active of the Humic Acid compounds, offering physical, chemical and biological benefits. Natural buffering, chelating and extremely high ion-exchange properties make mineral elements easier for plants to absorb. This results in increased plant vitality, resistance to environmental stress and improved crop quality and yields.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/royal-gold/
13219,"Yield Up 9-47-9","<b>Finally... a one part feed program that is so incredibly soluble it will even dissolve in cold water!</b>

PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production. PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production.

<b>Yield Up 10-60-10</b>

Does just that, ups your yield! Use Yield Up alone in the last three weeks of your bloom cycle for a high phosphorus boost. Excellent for outdoor gardens as well!",,"September 3, 2019",product,http://hmoonhydroponics.com/product/yield-up-9-47-9/
13220,"Bud Boom","BUD BOOM This product's name could have been thud because that's what it does to the tomatoes makes them thick and dense. Packed with the right ingredients of nitrogen, phosphorus, potash, magnesium and added carbohydrates. Increases the essential oil content in herbs. Thicker and harder fruits.
<ul>
 	<li>Late bloom enhancer.Designed to increase the plant's ability to flower. Provides the phosphorous boost needed during the last two weeks of a plant's flowering cycle.

Compatible with all quality brand name nutrients.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bud-boom/
13221,"Bud Start","<b>Bud Start (aka Crystal Plus)</b> Bud Start aka crystal plus is a powerful blend of phosphorous and potassium fertilizer which will dramatically activate the flowering stage. The result is bigger buds and juicier, firmer fruits.

Add it to your nutrient solution just before flowers are starting to form. Reliable source of nutrition in the area where buds are developing. Elevated phosphorus level for fast healthy flowering and ripening fruit load.

Dissolves quickly and easily. Activate the flowering stage. As an additive to your existing nutrient solution. Compatible with all quality brand name nutrients.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bud-start/
13222,"Carbo Blast","<b>Carbo Blast</b> Triple A Crystal is the energy source your plants will need to keep ahead of the pack. The unique chemical composition of Carbo Blast makes it beneficial during all phases of plant growth. Carbohydrates are the end products of photosynthesis. Carbohydrates are broken down during respiration to release large amounts of chemical energy which is utilized by plants for biosynthetic reactions. Boost plants with leggy growth problems.

Enhance resin production. Essential oil production. Boost flowering weight. Emulates the plant's natural carbohydrate profile.
<ul>
 	<li>Increasing the size and quality of your fruits and vegetables, and/or flowers.Uses the highest quality simple and complex carbohydrates. As an additive to your existing nutrient solution.
Compatible with all quality brand name nutrients.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/carbo-blast/
13223,"Prop-O-Gator Plant Food","Prop-O-Gator Plant Food for roots is known as the ""Secret to a Successful Plantlife"". Why? Root mass is the plant's foundation and PlantLife Products'™ Prop-O-Gator combines a combination of nutrients with organic matter to accelerate your plants root growth!
<ul>
 	<li>Increase root mass.</li>
 	<li>Produce thicker, greener, and healthier foliage.</li>
 	<li>Increase the protein, vitamin, and mineral contents of most fruits and vegetables.</li>
 	<li>Strengthen root structure.</li>
 	<li>Produce more new root growth on stress plants.</li>
 	<li>Achieve sturdy stems with short internodes.</li>
 	<li>As an additive to your existing nutrient solution.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/prop-o-gator-plant-food/
13225,"QUICK ROOT Rooting Enhancer","At application, Quick Root's plantroids unique formulation surrounds the stem with sustenance it can immediately use. Quick Root's manufacturing process ensures the highly concentrated gel/liquid is evenly dispersed, protecting developing rootlets and plant tissues. Quick Root is ideal for propagation of the most hard-to-root plants.
<ul>
 	<li>Among the strongest cloning gel on the market.</li>
 	<li>Formulated to promote rapid, healthy root development.</li>
 	<li>Containing a powerful hormone IBA. (Indole Butyric Acid)</li>
 	<li>Consistently fosters robust clones by protecting developing rootlets and plant tissues.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/quick-root-rooting-enhancer/
13227,"Suck it Up","The latest innovative product from PlantLife Products, Suck It Up combines a pentrating agent with a colored pH indicator to give your plants the maximum amount of foliar spray components in the safest way possible.

Other products forcibly open the stoma of the leaf, potentially allowing pathogens inside. Suck It Up safely takes the spray through the space between epithelial cells. Suck It Up works at any pH level; in fact it will let the grower know when the pH is too extreme for the plant.
<ul>
 	<li>Superior leaf penetration AT ALL pH levels.</li>
 	<li>Coloured pH indicator to remind its user to adjust the pH.</li>
 	<li>One liter will produce 67 liters of spray.</li>
 	<li>Helps the spray move through the waxy cuticle as well as the space between the epithelial cells which is too small for microbes to enter.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/suck-it-up/
13228,"Double Super B+ Extra Strength","<b>Super B+ Now at double strength</b> is a plant growth and bloom additive that contains essential macro elements, chelated micro elements, natural vitamin B1 and our super enriched sea kelp solution. Double Super B+ also helps stimulate the growth of roots on new plants. B1 can assist at any time in a plant’s life with root regeneration where the root system has been damaged or stressed through high salinity, pathogens such as pythium, nutrient defi ciencies and toxicities. Encourage root development. Promotes stimulates rapid and lush vegetative growth. Larger buds, blooms, fruits and fl owers. Helps increase plant development at the blooming and fruiting stages. Reduces plant stress. Improves transplanting and rooting. As an additive to your existing nutrient solution. Compatible with all quality brand name nutrients. For use from cuttings and all stages of plant development!!!",,"September 3, 2019",product,http://hmoonhydroponics.com/product/double-super-b-extra-strength/
13229,"Ton O Bud 0-10-6","<b>Ton O Bud 0-10-6 <b> the original! A late flowering additive that is ideal for soil/soilless mediums. Known and recognized throughout the indoor gardening world, the name says it all! This specially formulated powder, has been turbo milled for ultimate solubility (will dissolve fully, even in cold water). </b></b>

To be used in conjunction with Bud Start for an ideal flower set. High levels of phosphorus and potassium. Is a concentrated nutrient additive. Speeds up the development of flower bud set.
<ul>
 	<li>Increase quality and heavy fruit load. Forces abundant flowering. Helps facilitate ripening in annual plants.Compatible with all quality brand name nutrients.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/ton-o-bud-0-10-6/
13230,"The Hammer","<b>The Hammer</b> stops Vertical Growth, while allowing the plant to continue develop sturdy lush growth with strong stems and shortened intervals between nodes.

The Hammer is a food grade product and is safe for plants meant for human consumption. Applications are once for short plants(18-24 inches) twice for taller plants (30 inches and more.) Above all hammer is developed by growers, for growers.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/the-hammer/
13231,"Humboldt Grow 2-1-6","<b>HUMBOLDT NUTRIENTS' Grow, Micro, &amp; Bloom</b> was designed in Humboldt County to be a complete growing nutrient system for hydroponics and all growing mediums. Through extensive research and testing we have formulated an easy to use, highly effective fertilizing program.

Our three-part nutrients can be utilized for any types of vegetables, flowers, or herbs. In conjunction with our high powered additives, <b>Humboldt Nutrients</b> gives growers maximum flower production coupled with heavy fruit yields.

<b>DIRECTIONS: </b>
<ul>
 	<li>Fill your reservoir with clean water before administering any nutrient or additive.</li>
 	<li>Make sure that the water level in your reservoir is sufficient to effectively flood your desired area or table.</li>
 	<li>Potential nutrient lock-up can be avoided by adding the <b>Micro</b> before the <b>Bloom</b> and <b>Grow</b>.</li>
 	<li>Always wash your measuring cup immediately after adding and stirring in each nutrient.</li>
 	<li>Never mix any of these nutrients together in their concentrated forms.</li>
 	<li>After adding and stirring in each nutrient, check and adjust the pH to between 5.0 and 6.5.</li>
 	<li>Keep the water temperature in your reservoir between 66 and 75 degrees F.</li>
 	<li>Drain your reservoir and pumps at least once a week to prevent any salt build-up.</li>
</ul>
<i>Please avoid storing in direct sunlight and protect from freezing. </i>

<b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>2.00% Total Nitrogen (N)</li>
 	<li>0.20% Ammoniacal Nitrogen</li>
 	<li>1.80% Nitrate Nitrogen</li>
 	<li>1.00% Available Phosphate (P2O5)</li>
 	<li>6.00% Soluble Potash (K2O)</li>
 	<li>0.50% Magnesium (Mg)</li>
 	<li>0.50% Soluble Magnesium</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/humboldt-grow-2-1-6/
13232,"Humboldt Micro 5-0-1","<b>HUMBOLDT NUTRIENTS' Grow, Micro, &amp; Bloom</b> was designed in Humboldt County to be a complete growing nutrient system for hydroponics and all growing mediums. Through extensive research and testing we have formulated an easy to use, highly effective fertilizing program.

Our three part nutrients can be utilized for any types of vegetables, flowers, or herbs. In conjunction with our high powered additives, <b>Humboldt Nutrients</b> gives growers maximum flower production coupled with heavy fruit yields.

<b>DIRECTIONS:</b>
<ul>
 	<li>Fill your reservoir with clean water before administering any nutrient or additive.</li>
 	<li>Make sure that the water level in your reservoir is sufficient to effectively flood your desired area or table.</li>
 	<li>Potential nutrient lock-up can be avoided by adding the <b>Micro</b> before the <b>Bloom</b> and <b>Grow</b>.</li>
 	<li>Always wash your measuring cup immediately after adding and stirring in each nutrient.</li>
 	<li>Never mix any of these nutrients together in their concentrated form.</li>
 	<li>After adding and stirring in each nutrient, check and adjust the pH to between 5.0 and 6.5.</li>
 	<li>Keep the water temperature in your reservoir between 66 and 75 degrees F.</li>
 	<li>Drain your reservoir and pumps at least once a week to prevent any salt build-up.</li>
</ul>
<i>Please avoid storing in direct sunlight and protect from freezing. </i>

<b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>5.00% Total Nitrogen (N)</li>
 	<li>5.00% Nitrate Nitrogen</li>
 	<li>1.00% Soluble Potash (K20)</li>
 	<li>5.00% Calcium (Ca)</li>
 	<li>0.50% Iron (Fe)</li>
 	<li>0.10% Zinc (Zn)</li>
 	<li>0.05% Manganese (Mn)</li>
 	<li>0.001% Molybdenum (Mo)</li>
 	<li>0.0005% Cobalt (Co)</li>
</ul>
DERIVED FROM: <i>Calcium Nitrate, Cobalt Nitrate, Potassium Nitrate, Calcium Carbonate, Potassium Carbonate, Iron EDTA, Iron DPTA, Iron EDDHA, Manganese EDTA, Molybdenum EDTA, Cobalt EDTA, and Zinc EDTA.</i>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/humboldt-micro-5-0-1/
13233,"Humboldt Bloom 0-6-5","<b>HUMBOLDT NUTRIENTS' Grow, Micro, &amp; Bloom</b> was designed in Humboldt County to be a complete growing nutrient system for hydroponics and all growing mediums. Through extensive research and testing we have formulated an easy to use, highly effective fertilizing program.

Our three-part nutrient system can be utilized for any types of vegetables, flowers, or herbs. In conjunction with our high powered additives, <b>Humboldt Nutrients</b> gives growers maximum flower production coupled with heavy fruit yields.

<b>DIRECTIONS:</b>
<ul>
 	<li>Fill your reservoir with clean water before administering any nutrient or additive.</li>
 	<li>Make sure that the water level in your reservoir is sufficient enough to effectively flood your desired area or table.</li>
 	<li>Potential nutrient lock-up can be avoided by adding the <b>Micro</b> before the <b>Bloom</b> and <b>Grow</b>.</li>
 	<li>Always wash your measuring cup immediately after adding and stirring in each nutrient.</li>
 	<li>Never mix any of these nutrients together in their concentrated form.</li>
 	<li>After adding and stirring in each nutrient, check and adjust the pH to between 5.0 and 6.5.</li>
 	<li>Keep the water temperature in your reservoir between 66 and 75 degrees F.</li>
 	<li>Drain your reservoir and pumps at least once a week to prevent any salt build-up.</li>
</ul>
<i>Please avoid storing in direct sunlight and protect from freezing. </i> <b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>6.00% Available Phosphoric Acid (P2O5)</li>
 	<li>5.00% Soluble Potash (K2O)</li>
 	<li>1.00%Magnesium (Mg)</li>
</ul>
DERIVED FROM: <i>Magnesium Phosphate, Phosphoric Acid, Potassium Phosphate, and Magnesium Carbonate.</i>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/humboldt-bloom-0-6-5/
13234,"Big Up Powder 0-33-23","Humboldt Nutrients, LLC has developed Big Up Powder after years of research and local trials. Many similar products contain artificial coloring and dyes. Big Up Powder is free of all of these unnecessary artificial colors and dyes.

Big Up Powder is designed specifically for the final weeks of the flowering period. It provides the final boost of energy that your plants need to finish the bloom cycle with the largest flowers you have ever seen.

Because Big Up Powder contains a diverse amount of proprietary ingredients that many competing products simply don't offer, we are confident in its quality and performance.

<b>DIRECTIONS:</b>

<b>APPLICATION RATE:</b>

Start using Big Up Powder during the final 3 weeks of your flowering period using a total of 2 applications per growing cycle.

<b>First Application:</b>

Add 1 tsp per gallon of nutrient solution. This will increase your concentration by 300-400 PPM. Apply with 3 weeks left.

<b>Second Application:</b> Add 2 tsp per gallon of nutrient solution. This will increase your concentration by 500-700 PPM. Apply with 2 weeks left.

<b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>39% Available Phosphoric Acid (P2O5)</li>
 	<li>25% Soluble Potash</li>
</ul>
DERIVED FROM: <i>Monopotassium Phosphate, Asophyllum Nodosum, Leonardite, amino acid complex.</i>

ALSO CONTAINS NON-PLANT FOOD INGREDIENTS: ASCOPHYLUM NODOSUM, HUMIC ACIDS, AMINO ACID COMPLEX, ORGANIC ACIDS, AND VITAMINS.

Information regarding the contents and levels of metals in this product is available by calling 707-445-5778",,"September 3, 2019",product,http://hmoonhydroponics.com/product/big-up-powder-0-33-23/
13235,"Sea Cal 3-2-8","<b><i>Additive -- 3-2-8</i></b>

<b>HUMBOLDT NUTRIENTS' Sea-Cal</b> was designed in Humboldt County to be a powerful additive for hydroponics and all growing mediums.

<b>Sea-Cal </b>may be utilized for any type of vegetables, flowers, or herbs in conjunction with our three-part nutrient system, <b>Grow, Micro, &amp; Bloom</b>.

Sea-Cal is loaded with vital micronutrients in the specific ratios that plants require during their growing and flowering cycles. These vital micronutrients are coupled with seaweed extract, organic acid complexes, and natural chelating substances. Adding these to our complete nutritional base regimen provides maximum flower production coupled with heavy fruit yields.

<b>DIRECTIONS:</b>

<b>Soil Application:</b> Apply 1-5 mL per gallon of water or fertilizer solution.

<b>Hydroponics Application:</b> Apply 2 mL per gallon of nutrient solution along with your base nutrients and other additives.

<b>Foliar Application:</b> Apply 5-10 mL per gallon of finished spray solution. Agitate thoroughly and do not spray in direct sunlight or H.I.D. light to avoid leaf burn. Apply every 1-2 weeks.

<i>Please avoid storing in direct sunlight and protect from freezing. </i> <b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>3.00% Total Nitrogen (N)</li>
 	<li>3.00% Water Soluble Organic Nitrogen</li>
 	<li>2.00% Available Phosphoric Acid (P2O5)</li>
 	<li>8.00% Soluble Potash (K2O)</li>
 	<li>1.00% Calcium (Ca)</li>
 	<li>1.00% Chelated Calcium</li>
</ul>
DERIVED FROM: <i>Ascophyllum Nodosum Seaweed, Phosphoric Acid, Potassium Phosphate, Potassium Carbonate, Calcium EDTA.</i> <b>ALSO CONTAINS NON-PLANT FOOD INGREDIENTS</b>
<b>1% Humic Acid and Kelp Extract</b>
Derived From: <i>Ascophyllum Nodosum,</i> Organic Acid complex and Leonardite.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/sea-cal-3-2-8/
13236,"Sea Mag 0.2-0.2-3","<b>HUMBOLDT NUTRIENTS Sea Mag</b> was designed in Humboldt County to be a powerful additive for hydroponics and all growing mediums.

<b>Sea Mag</b> may be utilized for any type of vegetables, flowers, or herbs in conjunction with our 3 Part nutrient system.

<b>Sea Mag</b> is loaded with vital micronutrients in specific ratios that plants require during their growing and flowering cycles. These vital micronutrients are coupled with seaweed extract, organic acid complexes, and natural chelating substances. Adding these to our complete nutritional base regimen provides maximum flower production coupled with heavy fruit yields.

<b>DIRECTIONS:</b>

<b>Soil Application:</b> Apply 1-5 mL per gallon of water or fertilizer solution.

<b>Hydroponics Application:</b> Apply 2 mL per gallon of nutrient solution along with your base nutrients and other additives.

<b>Foliar Application:</b> Apply 5-10 mL per gallon of finished spray solution. Agitate thoroughly and do not spray in direct sunlight or H.I.D. light to avoid leaf burn. Apply every 1-2 weeks.

<i>Please avoid storing in direct sunlight and protect from freezing. </i>

<b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>0.20% Total Nitrogen (N)</li>
 	<li>0.20% Water Soluble Organic Nitrogen</li>
 	<li>0.20% Available Phosphoric Acid (P2O5)</li>
 	<li>3.00% Soluble Potash (K2O)</li>
 	<li>1.50% Magnesium (Mg)</li>
 	<li>1.50% Soluble Magnesium</li>
 	<li>0.001% Copper (Cu)</li>
 	<li>0.001% Chelated Copper</li>
 	<li>0.012% Boron (B)</li>
 	<li>0.012% Chelated Boron</li>
</ul>
DERIVED FROM: <i>Ascophyllum Nodosum Seaweed, Phosphoric Acid, Potassium Phosphate, Potassium Carbonate, Magnesium Sulfate, Boron EDTA, Copper EDTA.</i>

<b>ALSO CONTAINS NON-PLANT FOOD INGREDIENTS:</b>
1% Humic Acid and 1.6% Kelp Extract Derived From <i>Ascophyllum Nodosum, Organic Acid complex and Leonardite.</i>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/sea-mag-0-2-0-2-3/
13237,"Master A","<b><i>4.9-0-3.8</i></b>

<b>HUMBOLDT NUTRIENTS MASTER A&amp;B</b> is a premium two-part amino acid-based fertilizer program designed for flowering plants. The amino acids and organic acid complexes set the Master A&amp;B series apart from your standard base nutrient by making all the macro and micro nutrients more available.

<b>DIRECTIONS:</b>

Use 1:1 Ratio with Master A&amp;B as a two-part Base Bloom Nutrient. Adjust PPM higher in later stages of the bloom cycle to desired strength. <b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>Total Nitrogen (N)...........4.90%</li>
 	<li>Soluble Potash (K20)........3.80%</li>
 	<li>Calcium(Ca)....................1.70%</li>
 	<li>Molybdenum(Mo)........0.0008%</li>
</ul>
DERIVED FROM: <i>Calcium Nitrate, Potassium Nitrate, Sodium Molybdate, Amino-Chelated Calcium and Sodium Borate, Amino-Chelated Iron, Amino-Chelated Zinc, Amino-Chelated Manganese, Amino-Chelated Boron, Amino Acid Complex and Organic Acid Complex.</i>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/master-a/
13238,"Master B","<b>HUMBOLDT NUTRIENTS MASTER A&amp;B</b> is a premium two-part amino acid-based fertilizer program designed for flowering plants. The amino acids and organic acid complexes set the <b>Master A&amp;B</b> series apart from your standard base nutrient by making all the macro and micro nutrients more available.

<b>DIRECTIONS:</b>

Use 1:1 Ratio with Master A&amp;B as a two part Base Bloom Nutrient. Adjust PPM higher in later stages of the bloom cycle to desired strength. <b>GUARANTEED ANALYSIS:</b>
<ul>
 	<li>Total Nitrogen (N)..........1.50%</li>
 	<li>Available Phosphate(P2O5).....5.20%</li>
 	<li>Soluble Potash (K20)........6.30%</li>
 	<li>Magnesium (Mg)...........1.00%</li>
</ul>
DERIVED FROM: <i>Monopotassium Phosphate, Magnesium Phosphate, Mono Ammonium Phosphate, Magnesium Sulfate, Magnesium Nitrate, Amino-Chelated Magnesium, Potassium Nitrate, Dipotassium Phosphate, Potassium Carbonate, Amino-Chelated Potassium, Amino Complex and Organic Acid Complex.</i>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/master-b/
13239,DueceDuece,"DueceDuece (0-0-22) is derived from Sulfate of Potash, Probiotic Potassium, and Ascophyllum Nodosum. Plants require high levels of potassium for increased protien production and to improve resistance to disease and insects.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/dueceduece/
13240,"White Widow","A Mycorrhizal powder containing an extremely high and diverse amount of mycological spores. No other Mycorrhizal on the market has more propagales per gram. In addition, White Widow is a diverse, pure endo Mycorrhizal.The effectiveness of a soluble Mycorrhizal inoculants relies heavily on 2 variables; the amount of spores in the product itself and the ability of that product to become soluble in water. White Widow is a super-fine powder which quickly and easily dissolves into water.

With White Widow the speed and aggressiveness of your plant’s root development is unprecedented. It is common to see large, furry, bright white roots shooting out of the bottom of containers only a week after transplanting with the White Widow.White Widow is bacteria free, making it ideal for hydroponic systems. Used in soil, soil-less or hydroponic gardens White Widow is a must have for gardeners concerned about the quality and health of their plant’s root systems.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/white-widow/
13241,"Equilibrium Natural","<b>1-2-1</b>

If you want to reap a large bountiful harvest your plants must receive the correct ratio of Calcium to Magnesium throughout it’s life cycle; but for that harvest to be flavorful, sweet and aromatic, one must ensure that the Ca and Mg you are feeding your garden is derived from high quality source materials. Equilibrium Natural, Humboldt Nutrients offers the ease of a one part Ca-Mg additive with the quality which has come to be associated with our products.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/equilibrium-natural/
