Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
super-double-b,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/942783a8__Double-dPapillon-630w.jpg?v=1766351599,2,Super Double B+,,,,,,
super-double-b,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/ff4a9b32__super_b_extra_strength.jpg?v=1766352362,5,Super Double B+,,,,,,
supernatural-bloom-terra-1kg,Supernatural Bloom Terra 1kg,"Supernatural Bloom Terra 1kg by Sunlight Supply inc. is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Sunlight Supply inc.,,nutrients,"nutrients, nutrients, brand:Sunlight Supply inc.",TRUE,Size,1 kg,,,,,2713,0,shopify,5,deny,manual,60.99,,TRUE,TRUE,0811922001095,https://hmoonhydro.com/wp-content/uploads/2025/04/Silicium-bloom_5.8-DISTRIBUTION-300x300-1-200x200.webp,,Supernatural Bloom Terra 1kg,FALSE,Supernatural Bloom Terra 1kg,,lb,30.64,active
supernatural-gro-terra,Supernatural Gro Terra,"Supernatural Gro Terra by Sunlight Supply inc. is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Sunlight Supply inc.,,Nutrients,nutrients,TRUE,Size,2 lb,,,,,2708,0,shopify,3,deny,manual,60.99,,TRUE,TRUE,0811922001088,https://hmoonhydro.com/wp-content/uploads/2021/12/terra-craft-200x133.jpg.webp,,Supernatural Gro Terra,FALSE,Supernatural Gro Terra,,lb,30.64,active
supernatural-gro-terra,,,,,,,TRUE,Size,5 lb,,,,,2711,0,shopify,3,deny,manual,126.99,,TRUE,TRUE,0811922000166,https://hmoonhydro.com/wp-content/uploads/2021/12/terra-craft-200x133.jpg.webp,,,FALSE,,,lb,64.21,active
supernatural-gro-terra,,,,,,,TRUE,Size,400g,,,,,2712,0,shopify,9,deny,manual,27.99,,TRUE,TRUE,0811922000159,https://hmoonhydro.com/wp-content/uploads/2021/12/terra-craft-200x133.jpg.webp,,,FALSE,,,lb,14.29,active
tarantula,Tarantula,"Tarantula by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,Nutrients,nutrients,TRUE,Size,50 g,,,,,243,0,shopify,1,deny,manual,32.75,,TRUE,TRUE,0845268004700,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Tarantula-Liquid-1L.png,,Tarantula,FALSE,Tarantula,,lb,14.83,active
tarantula,,,,,,,TRUE,Size,130 G,,,,,229,0,shopify,3,deny,manual,57.30,,TRUE,TRUE,0845268003338,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Tarantula-Liquid-1L.png,,,FALSE,,,lb,,active
tarantula-beneficial-bacteria-2,Tarantula Beneficial Bacteria,"Tarantula Beneficial Bacteria by Tarantula Beneficial is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Tarantula Beneficial,,nutrients,"catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,50 g,,,,,hmh01063,454,shopify,0,continue,manual,32.48,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/advancedTarantula.jpg,,Tarantula Beneficial Bacteria,FALSE,Tarantula Beneficial Bacteria,,lb,,active
tarantula-beneficial-bacteria-2,,,,,,,TRUE,Size,130 g,,,,,hmh01064,454,shopify,0,continue,manual,56.82,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/advancedTarantula.jpg,,,FALSE,,,lb,,active
tarantula-liquid-500ml,Tarantula Liquid 500ml,"Tarantula Liquid 500ml by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, catalog_index; nutrients, brand:Ton-o-bud",TRUE,Size,500 ml,,,,,2153,0,shopify,3,deny,manual,48.00,,TRUE,TRUE,0845268002621,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Tarantula-Liquid-1L.png,,Tarantula Liquid 500ml,FALSE,Tarantula Liquid 500ml,,lb,40.42,active
tarantula-liquid-fertilizer-qts,"Tarantula Liquid Fertilizer,Qts","Tarantula Liquid Fertilizer,Qts by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, nutrients, brand:Advanced Nutrients",TRUE,Size,Quart,,,,,2776,0,shopify,1,deny,manual,110.00,,TRUE,TRUE,0845268000337,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Tarantula-Liquid-1L.png,,"Tarantula Liquid Fertilizer,Qts",FALSE,"Tarantula Liquid Fertilizer,Qts",,lb,110.00,active
ton-o-bud,Ton O Bud,"<b>Ton O Bud 0-10-6 <b> the original! A late flowering additive that is ideal for soil/soilless mediums. Known and recognized throughout the indoor gardening world, the name says it all! This specially formulated powder, has been turbo milled for ultimate solubility (will dissolve fully, even in cold water). </b></b> To be used in conjunction with Bud Start for an ideal flower set. High levels of phosphorus and potassium. Is a concentrated nutrient additive. Speeds up the development of flower bud set. <ul> <li>Increase quality and heavy fruit load. Forces abundant flowering. Helps facilitate ripening in annual plants.Compatible with all quality brand name nutrients.</li> </ul>",Nickel City Wholesale Garden Supply,,nutrients,"nutrients, catalog_index; nutrients, brand:Ton-o-bud",TRUE,Size,1 Kg,,,,,1607,473096,shopify,15,deny,manual,151.99,,TRUE,TRUE,0692236000796,https://hmoonhydro.com/wp-content/uploads/2019/08/tonobud.jpg,,Ton O Bud,FALSE,Ton O Bud,"Ton O Bud 0-10-6 the original! A late flowering additive that is ideal for soil/soilless mediums. Known and recognized throughout the indoor gardening world, th",lb,68.39,active
ton-o-bud,,,,,,,TRUE,Size,20 liter,,,,,3261,0,shopify,1,deny,manual,270.28,,TRUE,TRUE,0692236032629,https://hmoonhydro.com/wp-content/uploads/2019/08/tonobud.jpg,,,FALSE,,,lb,137.00,active
ton-o-bud,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/45148c6d__Liquid-Ton-O-Bud-Group_001.jpg?v=1766352013,2,Ton O Bud,,,,,,
ton-o-bud,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/7e451dd9__bud-boom.jpg?v=1766351404,4,Ton O Bud,,,,,,
ton-o-bud,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/33082cbe__bud_boom.jpg?v=1766351408,5,Ton O Bud,,,,,,
two-way-splitter-3-8-in,TWO WAY SPLITTER 3/8 in,"<p>TWO WAY SPLITTER 3/8 in. is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",Nickel City Wholesale Garden Supply,,irrigation,"irrigation, brand:Nickel City Wholesale Garden Supply",TRUE,Size,8 inch,,,,,hmh00950,454,shopify,0,continue,manual,6.25,,TRUE,TRUE,0812111010355,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aeacbb44__Two-Way-Splitter-3_8-inch.jpg?v=1766352730,1,TWO WAY SPLITTER 3/8 in,FALSE,TWO WAY SPLITTER 3/8 in,,lb,,active
ultra-premium-connoisseur-part-a-1-lt,Ultra-premium Connoisseur Part-A (1 lt),"<p>Ultra-premium Connoisseur Part-A (1 lt) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,nutrients,"catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,1 L,,,,,hmh01065,1361,shopify,0,continue,manual,39.50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/c2e834fe__advancedConnoisseurA.jpg?v=1766351180,1,Ultra-premium Connoisseur Part-A (1 lt),FALSE,Ultra-premium Connoisseur Part-A (1 lt),,lb,,active
ultra-premium-connoisseur-part-b-1-lt,Ultra-premium Connoisseur Part-B (1 lt),"<p>Ultra-premium Connoisseur Part-B (1 lt) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,nutrients,"catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,1 L,,,,,hmh01067,1361,shopify,0,continue,manual,39.50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/c2e834fe__advancedConnoisseurA.jpg?v=1766351180,1,Ultra-premium Connoisseur Part-B (1 lt),FALSE,Ultra-premium Connoisseur Part-B (1 lt),,lb,,active
ultragrow-a-c-with-saftey-glass-socket-set-w-15-ft-cord,Ultragrow A/C . with saftey glass & socket set w/ 15 ft cord,"Ultragrow A/C . with saftey glass & socket set w/ 15 ft cord by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,hid_bulbs,"lighting equipment, catalog_index; hid_bulbs, brand:Ultragrow",TRUE,Size,1 Box,,,,,757,0,shopify,0,continue,manual,145.65,,TRUE,TRUE,0691111177324,https://hmoonhydro.com/wp-content/uploads/2019/08/ugrac6_b.jpg,,Ultragrow A/C . with saftey glass & socket set w/ 15 ft cord,FALSE,Ultragrow A/C . with saftey glass & socket set w/ 15 ft cord,,lb,84.83,active
union-connector-1-4-in,UNION CONNECTOR 1/4 in,"<p>UNION CONNECTOR 1/4 in. delivers accurate environmental measurements. Made by H Moon Hydro, this precision instrument helps maintain optimal growing conditions with reliable readings.</p>",Nickel City Wholesale Garden Supply,,irrigation,"catalog_index; irrigation, brand:H Moon Hydro",TRUE,Size,4 inch,,,,,hmh00951,454,shopify,0,continue,manual,4.75,,TRUE,TRUE,0812111010591,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/41bec636__UNION-CONNECTOR-1_4-in.jpg?v=1766352735,1,UNION CONNECTOR 1/4 in,FALSE,UNION CONNECTOR 1/4 in,,lb,3.00,active
union-connector-3-8-in,UNION CONNECTOR 3/8 in,"<p>UNION CONNECTOR 3/8 in. delivers accurate environmental measurements. Made by H Moon Hydro, this precision instrument helps maintain optimal growing conditions with reliable readings.</p>",Nickel City Wholesale Garden Supply,,irrigation,"catalog_index; irrigation, brand:H Moon Hydro",TRUE,Size,8 inch,,,,,hmh00949,454,shopify,0,continue,manual,5.00,,TRUE,TRUE,0812111010591,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/78b0f327__3_8-inch-Union-Connector.jpg?v=1766352512,1,UNION CONNECTOR 3/8 in,FALSE,UNION CONNECTOR 3/8 in,,lb,3.00,active
vho-foliar,VHO Foliar,"VHO Foliar by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,Nutrients,nutrients,TRUE,Size,1 Lt,,,,,261,0,shopify,3,deny,manual,29.68,,TRUE,TRUE,0845268001570,,,VHO Foliar,FALSE,VHO Foliar,,lb,,active
vho-foliar,,,,,,,TRUE,Size,4 Lt,,,,,262,0,shopify,13,deny,manual,101.40,,TRUE,TRUE,0845268001587,,,,FALSE,,,lb,,active
vita-race,Vita Race,"Vita Race by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,Nutrients,nutrients,TRUE,Size,500 ml,,,,,2564,0,shopify,0,continue,manual,41.06,,TRUE,TRUE,,,,Vita Race,FALSE,Vita Race,,lb,,active
vita-race,,,,,,,TRUE,Size,1 Lt,,,,,2565,0,shopify,0,continue,manual,62.56,,TRUE,TRUE,,,,,FALSE,,,lb,,active
vita-race,,,,,,,TRUE,Size,5 Lt,,,,,2566,0,shopify,0,continue,manual,232.65,,TRUE,TRUE,,,,,FALSE,,,lb,,active
voodoo-10l,Voodoo 10L,"Voodoo 10L by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",NGW,,nutrients,"nutrients, nutrients, brand:NGW",TRUE,Size,10 L,,,,,1765,0,shopify,1,deny,manual,777.76,,TRUE,TRUE,0845268001945,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/209094fb__voodoo.jpg?v=1766352445,1,Voodoo 10L,FALSE,Voodoo 10L,,lb,,active
voodoo-juice,Voodoo Juice,"Voodoo Juice by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,250ml,,,,,2001,0,shopify,0,deny,manual,32.39,,TRUE,TRUE,0845268002973,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/45578d69__New20-20SunBlaster20CFL20-205512520020watt20web.jpg?v=1766352113,1,Voodoo Juice,FALSE,Voodoo Juice,,lb,20.07,active
voodoo-juice,,,,,,,TRUE,Size,500ml,,,,,2002,0,shopify,3,deny,manual,59.37,,TRUE,TRUE,0845268002713,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Voodoo-Juice-1L.png,,,FALSE,,,lb,33.45,active
voodoo-juice,,,,,,,TRUE,Size,1 Lt,,,,,1559,0,shopify,25,deny,manual,107.96,,TRUE,TRUE,0845268001921,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Voodoo-Juice-1L.png,,,FALSE,,,lb,52.70,active
voodoo-juice,,,,,,,TRUE,Size,4 Lt,,,,,1558,0,shopify,12,deny,manual,332.80,,TRUE,TRUE,0845268001938,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Voodoo-Juice-1L.png,,,FALSE,,,lb,84.33,active
voodoo-juice,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/209094fb__voodoo.jpg?v=1766352445,4,Voodoo Juice,,,,,,
voodoo-juice-root-booster-2,VooDoo Juice Root Booster,"VooDoo Juice Root Booster by Voodoo Juice is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Voodoo Juice,,nutrients,"catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,500 ml,,,,,hmh01069,454,shopify,0,continue,manual,66.90,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/voodoo.jpg,,VooDoo Juice Root Booster,FALSE,VooDoo Juice Root Booster,,lb,,active
voodoo-juice-root-booster-2,,,,,,,TRUE,Size,1 L,,,,,hmh01070,1361,shopify,0,continue,manual,107.04,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/voodoo.jpg,,,FALSE,,,lb,,active
vortex-12-in-1140-cfm,"Vortex 12 in., 1140 cfm","<p>Vortex 12 in., 1140 cfm provides essential air circulation for indoor growing. From H Moon Hydro, this ventilation solution maintains optimal temperature and humidity. Quiet operation and durable construction.</p>",Vortex,,airflow,"airflow, brand:JetFan",TRUE,Size,12 inch,,,,,hmh00777,9979,shopify,0,continue,manual,412.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aa7a86d2__vortex_powerfans.jpg?v=1766352448,1,"Vortex 12 in., 1140 cfm",FALSE,"Vortex 12 in., 1140 cfm",,lb,,active
vortex-12-in-2050-cfm-v-series,"Vortex 12 in., 2050 cfm - V-Series","<p>Vortex 12 in., 2050 cfm - V-Series provides essential air circulation for indoor growing. From H Moon Hydro, this ventilation solution maintains optimal temperature and humidity. Quiet operation and durable construction.</p>",Vortex,,airflow,"airflow, brand:Vortex",TRUE,Size,12 inch,,,,,hmh00778,9979,shopify,0,continue,manual,799.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aa7a86d2__vortex_powerfans.jpg?v=1766352448,1,"Vortex 12 in., 2050 cfm - V-Series",FALSE,"Vortex 12 in., 2050 cfm - V-Series",,lb,,active
vortex-4-in-172-cfm,"Vortex 4 in., 172 cfm","<p>Vortex 4 in., 172 cfm provides essential air circulation for indoor growing. From H Moon Hydro, this ventilation solution maintains optimal temperature and humidity. Quiet operation and durable construction.</p>",Vortex,,airflow,"airflow, brand:Vortex",TRUE,Size,4 inch,,,,,hmh00774,3175,shopify,0,continue,manual,168.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aa7a86d2__vortex_powerfans.jpg?v=1766352448,1,"Vortex 4 in., 172 cfm",FALSE,"Vortex 4 in., 172 cfm",,lb,,active
vortex-6-in-450-cfm,"Vortex 6 in., 450 cfm","<p>Vortex 6 in., 450 cfm provides essential air circulation for indoor growing. From H Moon Hydro, this ventilation solution maintains optimal temperature and humidity. Quiet operation and durable construction.</p>",Vortex,,airflow,"airflow, brand:Vortex",TRUE,Size,6 inch,,,,,hmh00775,5443,shopify,0,continue,manual,215.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aa7a86d2__vortex_powerfans.jpg?v=1766352448,1,"Vortex 6 in., 450 cfm",FALSE,"Vortex 6 in., 450 cfm",,lb,,active
vortex-8-in-747-cfm,"Vortex 8 in., 747 cfm","<p>Vortex 8 in., 747 cfm provides essential air circulation for indoor growing. From H Moon Hydro, this ventilation solution maintains optimal temperature and humidity. Quiet operation and durable construction.</p>",Vortex,,airflow,"airflow, brand:Vortex",TRUE,Size,8 inch,,,,,hmh00776,7257,shopify,0,continue,manual,270.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aa7a86d2__vortex_powerfans.jpg?v=1766352448,1,"Vortex 8 in., 747 cfm",FALSE,"Vortex 8 in., 747 cfm",,lb,,active
yield-up,Yield Up,"<b>Finally... a one part feed program that is so incredibly soluble it will even dissolve in cold water!</b> PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production. PlantLife Products™ granular line has been designed with elevated chelated trace elements and Vitamin B-1. We have also incorporated a penetrating agent resulting in greater solubility which allows the root media easier access to its feed, thus enhancing rapid growth and over-all increased production. <b>Yield Up 10-60-10</b> Does just that, ups your yield! Use Yield Up alone in the last three weeks of your bloom cycle for a high phosphorus boost. Excellent for outdoor gardens as well!",Nickel City Wholesale Garden Supply,,Nutrients,nutrients,TRUE,Size,500 g,,,,,1618,0,shopify,6,deny,manual,25.98,,TRUE,TRUE,0692236001823,https://hmoonhydro.com/wp-content/uploads/2019/08/yieldup.jpg,,Yield Up,FALSE,Yield Up,Finally... a one part feed program that is so incredibly soluble it will even dissolve in cold water! PlantLife Products™ granular line has been designed with e,lb,8.51,active
yield-up,,,,,,,TRUE,Size,2 Kg,,,,,1619,0,shopify,7,deny,manual,56.40,,TRUE,TRUE,0692236000314,https://hmoonhydro.com/wp-content/uploads/2019/08/yieldup.jpg,,,FALSE,,,lb,28.95,active
yield-up,,,,,,,TRUE,Size,10kg,,,,,2847,0,shopify,3,deny,manual,232.70,,TRUE,TRUE,0069223601888,https://hmoonhydro.com/wp-content/uploads/2019/08/yieldup.jpg,,,FALSE,,,lb,129.70,active
yield-up,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/c165fe67__Yield-Up.jpg?v=1766352498,2,Yield Up,,,,,,
yield-up,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/e406b071__safer_garden_fungicide.jpg?v=1766352287,4,Yield Up,,,,,,
yield-up-9-47-9-2,Yield Up 9-47-9,"Yield Up 9-47-9 by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,nutrients,"catalog_index; nutrients, brand:Yield Up",TRUE,Size,2 kg,,,,,hmh00311,2041,shopify,0,continue,manual,94.99,,TRUE,TRUE,0069223601888,https://hmoonhydro.com/wp-content/uploads/2019/08/yieldup.jpg,,Yield Up 9-47-9,FALSE,Yield Up 9-47-9,,lb,129.70,active
yield-up-9-47-9-2,,,,,,,TRUE,Size,10 kg,,,,,hmh00312,10433,shopify,0,continue,manual,232.00,,TRUE,TRUE,0069223601888,https://hmoonhydro.com/wp-content/uploads/2019/08/yieldup.jpg,,,FALSE,,,lb,129.70,active
yield-up-9-47-9-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/c165fe67__Yield-Up.jpg?v=1766352498,2,Yield Up 9-47-9,,,,,,
dutch-lighting-innovations-joule-series-de-120v-240v,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,"<img class=""alignnone size-medium wp-image-62527"" src=""https://hmoonhydro.com/wp-content/uploads/2021/10/dlI-trio-images-200x106.jpg"" alt="""" width=""200"" height=""106"" /><img class=""alignnone size-medium wp-image-62528"" src=""https://hmoonhydro.com/wp-content/uploads/2021/10/DLI1000_l-200x79.jpg"" alt="""" width=""200"" height=""79"" /><img class=""alignnone size-medium wp-image-62529"" src=""https://hmoonhydro.com/wp-content/uploads/2021/10/JOULE-SERIES-1000W-DE-dimmable-2-200x200.png"" alt="""" width=""200"" height=""200"" />",GH,,grow_lights,"grow_lights, brand:Unknown",TRUE,Size,1000W,,,,,,15422,shopify,0,continue,manual,450.00,715.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/24c89b9f__dutch-lighting-innovations-apex-series-led-toplight-800-fs-dc-208-400v-1.webp?v=1766353200,1,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,FALSE,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,,lb,,active
dutch-lighting-innovations-joule-series-de-120v-240v,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/078a5c8a__dutch-lighting-innovations-apex-series-led-toplight-800-fs-dc-208-400v-2.webp?v=1766353202,2,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,,,,,,
dutch-lighting-innovations-joule-series-de-120v-240v,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/f47d60c5__dutch-lighting-innovations-apex-series-led-toplight-800-fs-dc-208-400v.webp?v=1766353205,3,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,,,,,,
dutch-lighting-innovations-joule-series-de-120v-240v,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/5f21b3ce__dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v-1.webp?v=1766353207,4,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,,,,,,
dutch-lighting-innovations-joule-series-de-120v-240v,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/21084b64__dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v-2.webp?v=1766353210,5,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V,,,,,,
dutch-lighting-innovations-joule-series-de-120v-240v-skid-62-fixtures,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V/ Skid (62 Fixtures),"<img class=""alignnone size-medium wp-image-62527"" src=""https://hmoonhydro.com/wp-content/uploads/2021/10/dlI-trio-images-200x106.jpg"" alt="""" width=""200"" height=""106"" /> Dutch Lighting Innovations is an innovative company which develops and manufactures supplemental lighting systems for the global greenhouse industry. Our products are made with components of the highest quality and reliability and are very easy in maintenance. Features of JOULE-SERIES 1000W DE 240V - 220V <ul> <li>Extra Low-Profile Housing</li> <li>Eliminates hot spots and inconsistencies on the canopy</li> <li>Improved Heatsink</li> <li>LED Indicator</li> <li>Dim Switch Dial</li> <li>IP65 Controller Connection</li> <li>Increased lamp life and output due to decreased heat build-up</li> <li>Driver efficiency&gt; 95%.</li> <li>Built in spirit level</li> <li>Replaceable reflector and lamp</li> <li>Improved reflector</li> <li>Coretex plugThe DLI reflectors are manufactured to have the highest possible total reflectance at all wavelengths from 400 to 700 nm giving excellent PAR rendition. The integrated hemispherical reflectance is over 95% with an absence of iridescence colours in the louvre.</li> <li> <h2>Time for Improvement</h2> For Decades growers have settled for lighting options that are not 100% tailored for their use and crop. Grow light manufacturers are always trying to appease the mass populations of growers, rather than honing in on exactly what they need for optimal performance, yields, and most important quality. The engineering principles behind the DLI Open Reflector are a culmination of over a decade of research and development. The team works with a ranging group of some of the best horticulturists around the globe; each who specialise in plant and varietal specific production processes for the ornamental, and commercial flower market. Dutch Lighting Innovations has allowed these groups a new level of consistency, reliability, and quality unparalleled in the niche world of growing the best flowers and plants on Earth! <hr /> <h2>How it works</h2> The DLI reflectors are manufactured to have the highest possible total reflectance at all wavelengths from 400 to 700 nm giving excellent PAR rendition. The integrated hemispherical reflectance is over 95% with an absence of iridescence colours in the louvre. The DLI reflectors are made from an electrochemically brightened high purity aluminium substrate coil, and start with an anodised base coat which gives a hard support to minimize abrasion damage. The material is then treated under vacuum with specially developed processes to maximise coating adhesion and is vacuum coated with a super pure reflection layer of 99.99% pure aluminium. These reflection layers are overlaid with a dual layer oxide system tuned for maximum visible reflection enhancement. This serves to increase the overall reflectivity provided by the metallic layers and adds protection against damage.<img class=""alignnone size-medium wp-image-62528"" src=""https://hmoonhydro.com/wp-content/uploads/2021/10/DLI1000_l-200x79.jpg"" alt="""" width=""200"" height=""79"" /><img class=""alignnone size-medium wp-image-62529"" src=""https://hmoonhydro.com/wp-content/uploads/2021/10/JOULE-SERIES-1000W-DE-dimmable-2-200x200.png"" alt="""" width=""200"" height=""200"" /></li> </ul>",GH,,grow_lights,"grow_lights, brand:Unknown",TRUE,Size,1000W,,,,,SKID,843681,shopify,0,continue,manual,19000.00,21700.00,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2021/10/dlI-trio-images.jpg,1,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V/ Skid (62 Fixtures),FALSE,“Dutch Lighting Innovations” JOULE-SERIES DE 120V – 240V/ Skid (62 Fix,Dutch Lighting Innovations is an innovative company which develops and manufactures supplemental lighting systems for the global greenhouse industry. Our produc,lb,,active
1-1-drain-overflow-tube,1 1/drain overflow tube,"1 1/drain overflow tube by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,irrigation,"components, irrigation, brand:Nickel City Wholesale Garden Supply",TRUE,Size,4 inch,,,,,hmh00620,0,shopify,8,deny,manual,4.04,,TRUE,TRUE,0691117772356,https://hmoonhydro.com/wp-content/uploads/2019/08/GH98010.jpg,1,1 1/drain overflow tube,FALSE,1 1/drain overflow tube,,lb,2.34,active
